Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,Aspect Ratio,Status
1.181,6485.561,759,13806,7.19,2.478,0.607,153.109,0.287,4.085,0.245,0.768,4.082372323,Healthy
0.977,6666.699,972,17075,8.163,3.129,0.397,175.222,0.184,7.875,0.127,0.604,7.881612091,Healthy
0.97,5433.358,1293,11011,5.779,1.957,0.631,106.008,0.365,3.102,0.322,0.802,3.101426307,Healthy
2.309,4261.711,771,16496,7.002,2.177,1.351,60.129,0.592,1.612,0.62,0.822,1.611398964,Healthy
1.104,6166.274,651,13858,5.855,1.792,0.785,140.143,0.405,2.283,0.438,0.695,2.282802548,Healthy
1.672,4484.417,779,11561,7.804,1.84,1.157,47.422,0.345,1.591,0.628,0.679,1.590319793,Healthy
1.147,4947.831,622,16569,8.365,1.651,0.884,108.42,0.206,1.868,0.535,0.431,1.867647059,Healthy
1.406,5289.729,675,20452,6.122,2.266,0.79,176.843,0.472,2.868,0.349,0.843,2.86835443,Healthy
2.665,4221.414,679,15545,7.694,2.193,1.547,54.289,0.566,1.417,0.706,0.801,1.417582418,Healthy
1.272,4553.895,647,14380,5.826,2.142,0.756,23.03,0.471,2.832,0.353,0.757,2.833333333,Healthy
1.055,5592.739,622,12561,7.627,2.667,0.504,31.407,0.228,5.293,0.189,0.661,5.291666667,Healthy
1.6,6268.439,522,20239,8.536,2.667,0.764,116.937,0.276,3.494,0.286,0.62,3.490837696,Healthy
1.33,7131.16,494,21231,6.616,2.12,0.798,98.09,0.382,2.655,0.377,0.697,2.656641604,Healthy
