Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,Aspect Ratio,Status
0.288,159.83,0,1148,2.404,0.904,0.406,5.279,0.627,2.226,0.449,0.869,2.226600985,Dead
0.326,144.311,0,558,4.22,0.742,0.559,81.967,0.23,1.327,0.754,0.516,1.327370304,Dead
0.406,138.144,0,518,3.236,1.032,0.501,121.994,0.487,2.061,0.485,0.78,2.05988024,Dead
0.44,149.505,0,506,2.587,0.778,0.721,141.679,0.827,1.079,0.927,0.949,1.079056865,Dead
0.394,145.337,0,1365,2.833,1.115,0.45,2.821,0.617,2.476,0.404,0.879,2.477777778,Dead
0.328,148.933,0,522,2.468,0.975,0.428,177.796,0.677,2.279,0.439,0.939,2.278037383,Dead
0.368,157.136,0,526,5.276,1.496,0.314,161.041,0.166,4.771,0.21,0.421,4.76433121,Dead
0.35,154.783,0,554,3.302,0.931,0.48,134.141,0.404,1.941,0.515,0.659,1.939583333,Dead
0.494,187.537,0,3851,4.987,1.316,0.478,53.438,0.25,2.752,0.363,0.574,2.753138075,Dead
0.923,188.85,0,606,4.936,1.364,0.861,175.121,0.476,1.584,0.631,0.795,1.584204413,Dead
0.438,189.11,0,558,4.407,1.035,0.539,5.371,0.283,1.92,0.521,0.542,1.920222635,Dead
0.171,179.905,0,506,3.603,1.416,0.153,40.907,0.165,9.226,0.108,0.644,9.254901961,Dead
0.576,182.868,0,562,5.28,1.37,0.535,121.506,0.26,2.56,0.391,0.524,2.560747664,Dead
1.21,194.208,0,1936,7.006,1.856,0.83,101.992,0.31,2.236,0.447,0.645,2.236144578,Dead
0.614,192.201,0,586,5.781,1.374,0.569,124.519,0.231,2.417,0.414,0.502,2.414762742,Dead
0.177,198.666,0,510,2.129,0.561,0.401,25.209,0.49,1.401,0.714,0.736,1.399002494,Dead
0.138,203.641,0,534,1.949,0.511,0.343,22.994,0.455,1.49,0.671,0.689,1.489795918,Dead
