,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
145,0.308,18.798,0,39,2.683,1.051,0.374,30.423,0.538,2.812,0.356,0.823
146,0.368,15.83,0,36,2.758,0.851,0.55,107.802,0.608,1.547,0.646,0.843
147,0.363,19.153,0,45,2.699,0.841,0.55,44.671,0.627,1.528,0.654,0.895
148,0.49,10.098,0,25,4.318,1.832,0.341,108.957,0.33,5.377,0.186,0.806
149,0.15,22.135,0,37,1.46,0.504,0.378,167.114,0.883,1.333,0.75,0.961
150,0.316,25,0,46,2.862,0.861,0.468,89.595,0.485,1.841,0.543,0.772
151,0.21,23.764,1,40,2.601,0.917,0.291,87.883,0.39,3.149,0.318,0.771
152,0.15,21.428,2,32,1.633,0.488,0.392,158.711,0.708,1.246,0.803,0.92
153,0.12,27.57,5,39,1.475,0.4,0.381,101.814,0.691,1.05,0.952,0.971
154,0.484,7.526,0,21,4.497,1.473,0.418,12.681,0.301,3.521,0.284,0.592
155,0.913,3.499,0,13,6.451,2.235,0.52,28.249,0.276,4.296,0.233,0.535
156,0.218,11.314,0,23,1.907,0.642,0.433,21.523,0.755,1.484,0.674,0.957
157,0.166,13.488,0,23,1.667,0.628,0.335,117.068,0.749,1.873,0.534,0.939
158,0.154,17.111,0,31,1.623,0.587,0.333,118.341,0.733,1.76,0.568,0.94
159,0.603,4.268,0,12,4.391,1.133,0.677,72.581,0.393,1.673,0.598,0.656
160,0.291,28.346,0,53,3.099,0.735,0.505,75.807,0.381,1.454,0.688,0.652
161,0.765,9.116,0,24,3.765,1.171,0.832,147.802,0.678,1.407,0.71,0.882
